,Date,Open,High,Low,Close,Adj Close,Volume
0,2024-01-03,138.60000610351562,141.08999633789062,138.42999267578125,140.36000061035156,140.36000061035156,18974300
1,2024-01-04,139.85000610351562,140.63499450683594,138.00999450683594,138.0399932861328,138.0399932861328,18253300
2,2024-01-05,138.3520050048828,138.80999755859375,136.85000610351562,137.38999938964844,137.38999938964844,15433200
3,2024-01-08,138.0,140.63999938964844,137.8800048828125,140.52999877929688,140.52999877929688,17645300
4,2024-01-09,140.05999755859375,142.8000030517578,139.7899932861328,142.55999755859375,142.55999755859375,19579700
5,2024-01-10,142.52000427246094,144.52499389648438,142.4600067138672,143.8000030517578,143.8000030517578,16641900
6,2024-01-11,144.89500427246094,146.66000366210938,142.21499633789062,143.6699981689453,143.6699981689453,17471100
7,2024-01-12,144.33999633789062,144.74000549316406,143.36000061035156,144.24000549316406,144.24000549316406,13995200
8,2024-01-16,143.42999267578125,145.83999633789062,143.05599975585938,144.0800018310547,144.0800018310547,19190400
9,2024-01-17,142.91000366210938,143.41000366210938,140.50999450683594,141.97500610351562,141.97500610351562,5133906
